,search_term,title,author,publisher,ratings_count,average_rating,pub_date,pub_year
3,Ammonite,"Valhai (The Ammonite Galaxy, #1)",Gillian Andrews,Gillian Andrews,62,4.13,"('10', '15', '2010')",2010
4,Ammonite,"Kwaide (The Ammonite Galaxy, #2)",Gillian Andrews,Gillian Andrews,36,4.05,"('11', '30', '2011')",2011
5,Ammonite,Ammonite Planets (Omnibus): Ammonite Galaxy #1-3,Gillian Andrews,,17,4.18,"(None, None, None)",
6,Ammonite,The Namura Stone (The Ammonite Galaxy #6),Gillian Andrews,,16,4.44,"(None, None, None)",
7,Ammonite,"Xiantha (The Ammonite Galaxy, #3)",Gillian Andrews,,30,4.21,"('9', '1', '2012')",2012
8,Ammonite,Ammonite Stars (Omnibus): Ammonite Galaxy #4-5,Gillian Andrews,,9,4.11,"(None, None, None)",
9,Ammonite,Pictoria (The Ammonite Galaxy #4),Gillian Andrews,,31,4.06,"('12', '1', '2012')",2012
10,Ammonite,The Lost Animas (The Ammonite Galaxy #5),Gillian Andrews,Gillian Andrews,20,4.41,"('9', '15', '2013')",2013
11,Ammonite,"The Trimorphs: Ammonite Galaxy, Book 7 (The Ammonite Galaxy)",Gillian Andrews,,9,4.44,"(None, None, None)",
12,Ammonite,Ammonites,Neale Monks,,10,3.55,"(None, None, None)",
13,Ammonite,"Churchill in ""Quotes"": Wit and Wisdom from the Great Statesman",Ammonite Press,Ammonite Press,42,4.21,"('9', '1', '2011')",2011
14,Ammonite,Ammonite: An Eco-Fantasy,Jasper Burns,,2,2.00,"(None, None, None)",
15,Ammonite,Heteromorph: The Rarest Fossil Ammonites - Nature at its Most Bizarre,Wolfgang Grulke,At One Communications,2,5.00,"('9', '30', '2014')",2014
16,Ammonite,Ammonites and Other Cephalopods of the Pierre Seaway: An Identification Guide,Neal L. Larson,Geoscience Press,2,3.00,"('6', '1', '2003')",2003
17,Ammonite,The Second World War in Pictures. Mirrorpix,Ammonite Press,Ammonite Press,8,3.44,"('3', '1', '2013')",2013
18,Ammonite,London: A City in Pictures,Ammonite Press,Ammonite Press,7,4.62,"('9', '1', '2011')",2011
19,Ammonite,A Corpus Of Ammonite Inscriptions,Walter E. Aufrecht,,0,0.00,"(None, None, None)",
0,Slow River,Slow River,Nicola Griffith,Ballantine Books,3193,3.85,"('8', '20', '1996')",1996
1,Slow River,By a Slow River,Philippe Claudel,Knopf,187,3.76,"('12', '18', '2007')",2007
2,Slow River,Slow River: A Journey Down The Murray,Steve Strevens,,5,3.33,"(None, None, None)",
3,Slow River,A Large Slow River,Janet Cardiff,,3,4.00,"(None, None, None)",
4,Slow River,Slow Rivers Of Time,Samuel T. Greathouse,"Philadelphia, PA: Dorrance & Co.",0,0.00,"(None, None, '1971')",1971
5,Slow River,Slow Burn (Wade Rivers Book 2),Warren Keith,,1,4.00,"(None, None, None)",
6,Slow River,"A slow, soft river;: Seven stories",Lawrence Dorr,,0,0.00,"(None, None, None)",
7,Slow River,"High the Garden Grows, Slow the River Flows",Anthony Bianchi,,1,4.00,"(None, None, None)",
8,Slow River,Slow River: A Journey Down the Murray,Steve Strevens,Allen & Unwin Australia,0,0.00,"('5', '9', '2014')",2014
9,Slow River,Slowly Down the River,Usula P. Wijesuriya,,0,0.00,"(None, None, None)",
10,Slow River,A Slow Flowing River,Wess Foreman,,0,0.00,"(None, None, None)",
11,Slow River,The Simple Little Vegan Slow Cooker,Michelle A. Rivera,Book Publishing Company (TN),50,3.45,"('2', '10', '2005')",2005
12,Slow River,Trees Are the Slowest Rivers,Brent Goodman,Sarasota Poetry Theatre,4,4.75,"(None, None, '1999')",1999
13,Slow River,Slow Boats to Europe: A River Journey from the English Channel to the Black Sea,Trevor Cherrett,,1,4.00,"(None, None, None)",
14,Slow River,Simple Slow Cooker Cookbook: Easy Crock Pot Recipes for Smart and Busy People – Best Recipes for Everyday Meals,Colin Rivera,,0,0.00,"(None, None, None)",
15,Slow River,Slow Cooker Guru: Top 25 Delicious Crockpot Recipes for Everyday Easy Cooking Low-Salt and Low-Fat Stew Meals,Colin Rivera,,2,3.00,"(None, None, None)",
16,Slow River,Slow Cooker Recipes: 67 Homemade Recipes,Brendan Rivera,,2,1.00,"(None, None, None)",
17,Slow River,Crock Pot Cookbook: Easy Slow Cooker Recipes for Busy People,Colin Rivera,,2,2.50,"(None, None, None)",
18,Slow River,Lazy Slow Cooker: little time lot of results,Brendan Rivera,,2,3.00,"(None, None, None)",
19,Slow River,"Slow Cooker Cookbook 365: Enjoy 365 Days With Amazing Slow Cooker Recipes In Your Own Slow Cooker Cookbook! (Mini Slow Cooker Cookbook, Slow Cooker Mexican Recipe Book, Gourmet Slow Cooker ) [Book 1]",Sofia Rivera,,0,0.00,"(None, None, None)",
0,Last Call at the Nightshade Lounge,Last Call at the Nightshade Lounge,Paul   Krueger,Quirk Books,1869,3.43,"('6', '7', '2016')",2016
1,Last Call at the Nightshade Lounge,My Best Friend's Exorcism / Last Call at the Nightshade Lounge [Exclusive Chaplet],Grady Hendrix,Quirk Books,70,4.21,"(None, None, None)",
